term,estimate,std_error,statistic,p_value,name,n,estimate_for_ranking,Rank
x165,4.418481999156688,0.657329879579143,6.721863917072553,1.7941447965682516e-11,李世乭,79,3.123542136385776,1
x145,4.320303030520204,0.6678360242278493,6.469107496133247,9.858344874240783e-11,時越,60,3.0046660627913413,2
x58,4.306514386606033,0.670796588630794,6.420000428738518,1.3627396136595048e-10,周睿羊,62,2.9850451070033692,3
x338,4.229570329392518,0.6522783217625688,6.484303077808087,8.914286865061395e-11,陳耀燁,72,2.944582035520258,4
x202,4.199490573715214,0.6582132521352341,6.380136771923277,1.7692989559182565e-10,柁嘉熹,71,2.902810467008803,5
x153,4.0940062221751505,0.6432643751447636,6.3644224371259694,1.9602594773846036e-10,朴廷桓,94,2.8267754031399663,6
x312,4.08461371983322,0.6589947083377599,6.198249649282009,5.709453027944637e-10,金志錫,72,2.786394144407833,7
x137,4.107792808826298,0.6765131615594436,6.072007230956668,1.2632124332840773e-9,彭立尭,53,2.775061880554194,8
x46,4.068236588015997,0.6679462999322665,6.09066415732603,1.1244321700714812e-9,古力,57,2.7523823771494325,9
x116,3.997902862393861,0.6425981354996245,6.2214666391546,4.925288942300441e-10,崔哲瀚,92,2.731984535459601,10
x275,3.9665894890653397,0.6558138480194483,6.048346647519571,1.463398228096547e-9,范廷鈺,68,2.6746362084670263,11
x239,4.011471173148376,0.6819011853620546,5.882774893577125,4.034444771702945e-9,王檄,49,2.6681258379851283,12
x296,3.9798432533415258,0.6812413904917656,5.842045578687767,5.156369303763333e-9,連笑,47,2.6377977140727475,13
x253,3.9125362708163856,0.6591418185287948,5.9358034353656555,2.9240996818840015e-9,白洪淅,70,2.61402688831466,14
x212,3.8810048358843385,0.6531914239895718,5.941604089318691,2.8224642716368026e-9,檀嘯,70,2.594217730624882,15
x156,3.812025487028456,0.6749060481927177,5.648231331214774,1.6210694747224713e-8,朴文尭,50,2.482460572088802,16
x318,3.862697133996908,0.7081063816048629,5.454967268113632,4.8981867296019243e-8,金昇宰,37,2.467727562235328,17
x287,4.349309899075636,0.9638134690146819,4.512605435491566,6.403608330293046e-6,謝爾豪,10,2.450597365116713,18
x62,3.7073307748075592,0.6735706213156698,5.503997142224102,3.712755681378459e-8,唐韋星,51,2.3803966508156895,19
x81,3.6316491849612844,0.6562849216321859,5.53364714814618,3.1363962214611576e-8,姜東潤,64,2.3387678893458785,20
x59,3.615735725263044,0.6728205026213933,5.37399753898058,7.700990897230143e-8,周賀璽,50,2.2902793350988997,21
x273,3.5969581160904305,0.6711050231373075,5.35975442304877,8.3335155476024e-8,芈昱廷,54,2.2748812205099345,22
x288,3.5697929475279273,0.6647688896799584,5.369975946447409,7.874714467479206e-8,謝赫,57,2.260198234858409,23
x214,3.5938584321318867,0.6857601105173602,5.240693322655587,1.5997439178773208e-7,毛睿龍,42,2.2429110144126874,24
x341,3.5806999019973844,0.704194148126646,5.084819167445584,3.6797649107611493e-7,陶欣然,35,2.193437430187892,25
x215,3.4781822892280183,0.6546084891300853,5.313377915172173,1.0761154053404106e-7,江維傑,63,2.1886035656417504,26
x125,4.76025406775994,1.31493544771021,3.6201427804302533,0.0002944404937951597,張亜博,6,2.169831235770826,27
x294,3.482667772820504,0.6678183894654361,5.214992320903668,1.8382485024250916e-7,趙漢乗,56,2.167065545573595,28
x29,3.4580170260122722,0.6560954423077453,5.270600591049784,1.3597807880017098e-7,元晟溱,66,2.165509004666014,29
x159,3.464878447058125,0.6597895001371489,5.251490735056997,1.5087312365348806e-7,朴永訓,63,2.1650931317879416,30
x84,3.4417637805324075,0.6645395436975636,5.179170770458736,2.2287437645722997e-7,孔傑,59,2.132620879448207,31
x271,3.4568799354042667,0.6876690638671262,5.0269528135589026,4.983349109829464e-7,胡耀宇,41,2.1021718795860282,32
x36,3.433916795622621,0.6817664075702113,5.03679377202078,4.733943350866748e-7,劉星,48,2.0908369727093046,33
x30,3.4926363828855216,0.7260422109832707,4.810514223622734,1.5054248958289204e-6,党毅飛,27,2.0623332272484785,34
x268,3.4129164787181936,0.6888297718060824,4.954658782778322,7.245732723445829e-7,羅玄,43,2.055921828260211,35
x297,3.3939060231756653,0.6848680452382544,4.955561946235907,7.212153953822646e-7,邱峻,42,2.044715974056304,36
x210,3.4327950871263084,0.7099644139268345,4.8351650023406325,1.3303523826776726e-6,楊鼎新,34,2.0341651916904446,37
x203,3.562886157529907,0.7888604039489462,4.516497646091122,6.287081575024397e-6,柯潔,18,2.008831161750483,38
x265,3.362552825361461,0.7194576638750727,4.673732721464675,2.9577420254030593e-6,童夢成,30,1.9452212275275678,39
x329,3.2933991635930564,0.6859077185331341,4.801519321923132,1.5746631162525689e-6,鍾文靖,44,1.942160958082782,40
x222,3.378100381206915,0.7298673904962937,4.628375544919032,3.6854523961283986e-6,洪性志,29,1.9402616219292164,41
x178,3.5987769633193145,0.8533938409719365,4.217017736172833,2.4755451103699336e-5,李欽誠,16,1.9175910966045997,42
x285,3.3353659271184033,0.7265747418556514,4.590533822576838,4.42113804187533e-6,許映皓,31,1.90401368566277,43
x186,3.2916965822401014,0.709356344047439,4.640399158846411,3.4773683573980384e-6,李軒豪,32,1.8942645844666466,44
x109,3.2666593924791516,0.7043180675029483,4.638045711450498,3.517190088475481e-6,尹畯相,37,1.8791527994983435,45
x170,3.2674817626566197,0.7063411462271103,4.625925843496061,3.7292872251409892e-6,李康,34,1.8759897045892124,46
x181,3.2690903926791055,0.7246054173361679,4.511545614297372,6.43569393728678e-6,李浩范,30,1.8416177205268547,47
x232,3.18305773727874,0.6814030425876192,4.671328917451146,2.992572913419543e-6,牛雨田,46,1.8406937433811303,48
x151,3.483920833430784,0.8347373859858686,4.173672932255323,2.9972795912527353e-5,朱元豪,14,1.8394881830386227,49
x174,3.136834933267444,0.6618737610130973,4.739325107050696,2.1443122363161257e-6,李映九,55,1.8329436240716426,50
x276,3.224602819917935,0.7155399789658224,4.506530612836599,6.5896182215716756e-6,范蘊若,30,1.8149890613552646,51
x172,3.211465436995086,0.7125886364210857,4.506759261731132,6.582524378120263e-6,李志賢,34,1.8076658232455471,52
x138,3.1973081758655537,0.7123253846308177,4.488550099225576,7.170956120471045e-6,彭筌,32,1.7940271681428428,53
x147,3.940530329931873,1.089872310895384,3.6155889919751534,0.0002996655058259887,曹瀟陽,7,1.7934818774679662,54
x88,3.185988753048682,0.7134439797384834,4.465646699011355,7.982725069518709e-6,孫騰宇,32,1.78050411296387,55
x316,3.500943127164112,0.8746665888446382,4.0026030167547235,6.264937442274821e-5,金成進,12,1.7778499471401747,56
x93,3.2006838464420815,0.7223442386691988,4.430967501504294,9.381122820108862e-6,安成浚,30,1.7776656962637598,57
x15,3.2019327731498715,0.725610555879203,4.41274282355247,1.0206921496060666e-5,井山裕太,57,1.7724799780678415,58
x122,3.1589944974218924,0.7078732655849457,4.462655465327514,8.095015621416432e-6,常昊,34,1.7644841642195495,59
x173,3.1242620981846074,0.7017417653921019,4.452153558850683,8.501333265979504e-6,李昌鎬,37,1.7418308203621669,60
x300,3.138980356914632,0.7136697003982332,4.398365735806154,1.0906906772313805e-5,鄔光亜,32,1.7330510471301128,61
x280,3.1435974722478464,0.7267725170494375,4.325421501916821,1.5224047616616888e-5,蔡競,29,1.7118556136604546,62
x177,3.131720109259837,0.7294309472158965,4.293374336821101,1.759779336143125e-5,李東勲,28,1.6947411432445207,63
x85,3.002577486423374,0.6758394693258623,4.4427376954151425,8.882142343903394e-6,孟泰齢,51,1.6711737318514255,64
