name,ping,n
申眞諝,11.034792402860644,87
李志賢,10.95097881531288,6
柯潔,10.348926323123331,50
元晟溱,9.879336493099117,18
朴廷桓,9.686335073228522,75
陶欣然,9.470965750240545,29
辜梓豪,9.363178472062609,45
丁浩,9.338761159943783,28
申旻埈,9.29675289227041,61
江維傑,9.273857294238455,34
連笑,9.252374071807246,46
李昌錫,9.175551968437729,31
李維清,9.150674843575116,30
謝爾豪,9.116872601435698,32
楊鼎新,9.115664589955125,45
柳秀沆,9.08067940948864,2
許嘉陽,9.07652902799284,32
李軒豪,9.071328464314238,32
柁嘉熹,9.068571127791962,28
范廷鈺,9.06504381589144,45
唐韋星,9.036696538752915,34
常昊,9.02951784249373,5
謝科,9.001649634825615,34
陳賢,9.000923794528765,20
曺薫鉉,8.977323976830633,6
偰玹準,8.864605889198033,33
金志錫,8.864552848020214,52
卞相壹,8.834062219110915,56
洪基杓,8.819760548371812,12
王昊洋,8.782892577879704,3
屠暁宇,8.750904216528761,22
沈載益,8.715945149065766,12
李東勲,8.70899282645469,47
芈昱廷,8.69833280792265,41
姜東潤,8.647147095472237,53
范蘊若,8.643776333984006,4
党毅飛,8.631441853250418,28
毛睿龍,8.594769510131465,3
戎毅,8.58669944476446,15
王沢錦,8.530590564894696,13
姜知勲,8.513741169544936,9
檀嘯,8.505003488163421,28
一力遼,8.496498861849828,55
周賀璽,8.493347024009978,3
劉宇航,8.415420475906236,5
安正己,8.396638568710626,29
趙漢乗,8.388611110695262,25
伊淩濤,8.387518692057819,27
時越,8.365769198082342,29
朴鐘勲,8.361272361521266,9
童夢成,8.34652890216288,27
曹瀟陽,8.33528259548508,17
劉裁豪,8.331004452812167,2
趙晨宇,8.32430825866087,34
崔宰栄,8.314865360536766,13
韓相朝,8.314459679500864,7
井山裕太,8.302468343649418,50
陳耀燁,8.287962931695926,24
蒋其潤,8.279620167889556,20
朴常鎭,8.264981149882447,26
范胤,8.257039131965586,26
陳玉儂,8.206171673125215,2
羅玄,8.201421564731953,42
黄明宇,8.199498998024268,19
朴鍵昊,8.198940791678853,25
李元栄,8.196270515577703,11
安成浚,8.180201055589691,24
王星昊,8.17575041773077,23
楊楷文,8.16103603300735,13
白賛僖,8.160611532579631,15
張涛,8.125414975680236,24
朴永訓,8.090832527998225,32
李泰賢,8.085693695059714,14
李映九,8.068530897842887,28
黄雲嵩,8.052968742100465,21
許皓鋐,8.033377786190332,88
黄昕,8.021258679545777,4
李欽誠,8.016241816215032,22
陳梓健,7.999557922456093,16
朴河旼,7.9801808451953695,25
金庭賢,7.968901559935357,15
鐘文靖,7.96402678821796,2
李翔宇,7.919238900386697,15
何語涵,7.908375145335061,19
姜儒澤,7.905221199673622,14
姜昇旼,7.898989291896455,24
廖元赫,7.897517537116513,30
白洪淅,7.8896763366485105,24
彭立尭,7.856571821326723,17
崔哲瀚,7.832642481281392,29
白現宇,7.825343123129848,20
梁寓晳,7.818298633650965,2
許映皓,7.791319763063312,17
金旻奭,7.7804269017604035,2
朴進率,7.764171726131993,25
韓一洲,7.7498200111648865,14
金明訓,7.722402988879381,25
朴材根,7.718164656828335,15
金昌勲,7.705691392361671,7
李昊承,7.698612746823055,7
金世東,7.655415006725866,15
崔精,7.64852521624818,68
古力,7.647966868809142,4
孟泰齢,7.626366105230663,17
崔顕宰,7.603292961637065,3
芝野虎丸,7.602046638616266,50
溝上知親,7.59347693173014,6
孫騰宇,7.589880970528115,13
韓尚勲,7.569468834669136,30
洪性志,7.569362655316433,4
文儒彬,7.567947042188392,24
張豊猷,7.558986299057944,6
朴承華,7.55133472971544,25
金桐熙,7.549334863116399,7
余正麒,7.547737468006677,37
韓熊熙,7.542099538773804,5
周睿羊,7.531532452250515,21
韓昇周,7.5274759952718036,21
宋知勲,7.524221048795873,16
尹燦熙,7.520555066097267,17
許家元,7.511711812638613,48
李成森,7.478823611361143,15
鄔光亜,7.469908226203016,13
陳鐿夫,7.462713527992827,4
古霊益,7.458556821962266,17
金炯佑,7.455750660366271,17
琴沚玗,7.443657363946614,26
文敏鍾,7.439920656818624,31
尹畯相,7.353327885032476,27
王雷,7.249081036062143,2
尹松涛,7.249052838955831,2
金相天,7.247986175748405,19
陳浩,7.2260908726466,9
王元均,7.222608712666778,73
張強,7.220816705197555,7
林君諺,7.2108229878264725,73
王世一,7.201561252298698,15
李元道,7.199258040985493,22
朴珉奎,7.154032689889506,3
夏晨琨,7.144673034251351,12
河野臨,7.139919167134898,38
廖行文,7.119160354688426,17
胡耀宇,7.090754540271007,14
金眞輝,7.042761166963873,13
申潤昊,7.030229234767189,3
李昌鎬,7.028780578753253,25
山下敬吾,7.012540426112871,38
温昭珍,6.973980102386943,9
金成進,6.940554833073694,19
韓雄奎,6.93048968618893,5
丁世雄,6.9280313259232065,11
胡躍峰,6.910350951621641,4
陳正勲,6.904667010576354,13
依田紀基,6.893472575084985,17
賴均輔,6.850639531613353,87
張瑞傑,6.80616980442099,4
黄静遠,6.798854221138331,13
尭瀟童,6.782105223805429,9
村川大介,6.73977360319522,45
陳豪鑫,6.728767064710608,10
金承俊,6.716976381688152,3
陳祈睿,6.716140758455949,100
朴炫洙,6.6917152075107085,12
羽根直樹,6.683578750957193,28
聶衛平,6.6760612023041945,5
金明完,6.675728768704547,2
成家業,6.665275705347786,13
簡靖庭,6.665249177807725,66
高尾紳路,6.635813279224199,19
鶴山淳志,6.558404137656811,12
大西竜平,6.557654876255821,26
朴永龍,6.55027181786994,13
李聖宰,6.5455036273107305,2
金炅奐,6.545001673382915,8
安祚永,6.538617431079626,7
崔光戸,6.5368626425848415,16
孫喆,6.519259958598526,19
宋圭相,6.518161160083963,17
秋山次郎,6.513907708313792,10
紀祥,6.508595339916285,4
六浦雄太,6.487715494434954,13
本木克弥,6.465746335517911,19
陸敏全,6.451019532432064,20
陳彦儒,6.432676283657064,3
梁洧準,6.41575738756876,4
金秀俊,6.395793245976267,4
三村智保,6.379385712734391,6
高根台,6.374721431274228,3
焦士維,6.367609318938363,4
平田智也,6.359446529092241,11
国宇征,6.351937517607208,3
陳一純,6.347019804864126,12
望月研一,6.345702930523562,7
関航太郎,6.339043872158017,9
林立祥,6.317193839292614,66
大淵浩太郎,6.286575161507292,3
安斎伸彰,6.277486436513659,14
佐田篤史,6.272556751432912,26
大川拓也,6.26134044084914,4
瀬戸大樹,6.230114145870674,17
韓宇進,6.21980045894147,13
寺山怜,6.1987019264471614,6
申載元,6.1971165397647905,14
金彩瑛,6.19023873823643,43
周俊勲,6.152990671233206,7
王銘琬,6.1426016312334015,16
於之瑩,6.123812441052136,15
王沢宇,6.120209557823253,3
大場惇也,6.116145174030028,3
李維,6.10369006409554,86
金伸英,6.099391969333583,2
傅健恒,6.063363094081569,2
楊博崴,6.061210778253901,50
周泓余,6.0547421258827105,23
呂洵鋒,6.047058303439787,2
金希洙,6.03177784599208,16
蕭正浩,5.996517328265599,58
林漢傑,5.990803592158974,13
謝赫,5.983176311972142,6
横塚力,5.978219449362032,10
張栩,5.974872735777449,27
洪爽義,5.971358646882428,12
趙治勲,5.93931904513004,17
伊田篤史,5.93791221161349,21
胡鈺函,5.910019738614037,2
胡暁,5.910019734733702,2
陳詩淵,5.860172844294437,62
金禹丞,5.8525188709842135,2
汪雨博,5.850232706426735,9
金宣圻,5.844202402376448,13
李尚憲,5.815861181184601,2
王碩,5.814485356301015,5
玄釉斌,5.810059812348948,33
権孝珍,5.795107841739006,25
藤沢里菜,5.775417026996821,31
金民浩,5.77007215263756,12
盧奕銓,5.712260188465215,68
李沇,5.707382430762431,18
呉侑珍,5.702932314056802,54
文鐘皓,5.697413379269604,4
柳時熏,5.671912775273095,9
金恵敏,5.6631677379563365,37
朴貞根,5.662979771684482,3
朴滄溟,5.646023921790981,10
朱亨煜,5.64428048414746,10
曾淵海,5.643315280275889,2
石井邦生,5.604049610193885,2
趙恵連,5.58816289713486,29
劉昌赫,5.571621773278863,21
朴東柱,5.56060166776413,7
李玟眞,5.548907671285276,19
金制拏,5.536372835602153,3
近藤登志希,5.528534683609783,3
金恩持,5.526223362620218,30
栗田佳樹,5.523994568114513,8
王晨星,5.5203341178470025,15
徐靖恩,5.511417353268791,65
蔡丞韋,5.5108547434788555,52
李春揆,5.508214015942952,12
柳澤理志,5.502046945514671,3
柳珠儇,5.500294167956751,4
広瀬優一,5.492330694945296,8
金栄桓,5.477201521762658,3
鄭宇津,5.465439621179619,8
呉秉祐,5.4634640604009395,27
唐嘉雯,5.461450393533952,18
金顕燦,5.410858382024649,3
鈴木伸二,5.406370178848112,10
芮廼偉,5.3906561370909944,13
呉政娥,5.381672134997416,34
曺承亜,5.368961969460845,31
唐奕,5.358895674948268,9
魯佳,5.357972345213712,9
富士田明彦,5.35565043216822,8
権周利,5.353334617282138,17
王爽,5.35109249347466,17
渡辺寛大,5.340889990793345,10
張子涵,5.337103728062787,10
林士勛,5.332323979900072,60
村本渉,5.3214008254044,5
趙善津,5.305977803781623,11
秦悦欣,5.29734387764568,2
王禹程,5.297343818065692,2
胡子豪,5.2962204236711585,4
河野光樹,5.285546229651428,2
曹又尹,5.276268101389969,8
朴志娟,5.27283787904662,26
李赫,5.26742751411863,18
大矢浩一,5.266453113849678,2
陳禧,5.229102736699424,42
詹宜典,5.218099888455889,3
潘陽,5.2110867878443,16
阿部良希,5.182248728158757,6
田中康湧,5.169556917094129,10
徐奉洙,5.165102967786559,19
村松大樹,5.149010226681105,5
星合志保,5.135222489874806,9
呉依銘,5.127512375156859,11
藤村洋輔,5.124811490091784,4
李浩範,5.108816440880797,10
桒原駿,5.101570939014414,4
姜昌培,5.080814839919175,2
蔡碧涵,5.069048607076435,10
上野愛咲美,5.06184410716047,31
金栄光,5.02282962621771,2
蘇耀国,5.017779449058,13
陶然,4.996462224411292,9
羅楚玥,4.992341389948265,9
大橋拓文,4.98981659998555,9
結城聡,4.971592425568599,18
楊嘉源,4.967791060902677,2
