name,ping,n
申眞諝,10.206139599580887,81
元晟溱,9.581054801594561,27
柯潔,9.516811199295129,59
朴廷桓,9.205526914137103,78
辜梓豪,9.014603700666571,54
卞相壹,8.869905799193633,59
楊鼎新,8.816665574920473,58
李志賢,8.735065995293139,6
謝爾豪,8.700546558171366,36
丁浩,8.626297746698835,31
連笑,8.613540428638956,49
陶欣然,8.581188497056848,33
江維傑,8.577128647129655,34
姜知勲,8.57259748992039,7
唐韋星,8.49911771502726,42
李維清,8.491542196925039,32
毛睿龍,8.463458871076254,3
李軒豪,8.457660899673943,40
王昊洋,8.44731327755478,3
李昌錫,8.426247383268125,44
韓雄奎,8.404542429090846,3
范廷鈺,8.3992929909649,46
許嘉陽,8.381959986066612,35
柁嘉熹,8.374308947942625,35
謝科,8.319810515015048,38
芈昱廷,8.306400596855049,51
李東勲,8.292196799387037,46
一力遼,8.291570849878177,55
陳賢,8.27736991104408,23
崔顕宰,8.238557904854725,2
金志錫,8.230775549312398,55
申旻埈,8.217005085158043,58
姜東潤,8.191709780806509,61
井山裕太,8.090204489261884,47
党毅飛,8.0841360848257,35
朴鐘勲,8.080585205027464,11
李欽誠,8.045822950254903,28
楊楷文,8.032700087912822,19
安成浚,7.983750415846126,27
劉宇航,7.983585102424063,7
屠暁宇,7.952093144610967,26
陳耀燁,7.935225919818916,27
崔宰栄,7.927908012128739,11
偰玹準,7.924700556619542,41
鐘文靖,7.918205702804047,2
陳玉儂,7.909563545743075,5
王沢錦,7.877186685148024,13
安正己,7.8665257034769525,32
戎毅,7.841241196673931,19
黄雲嵩,7.818903230919,26
韓相朝,7.817803510390879,4
金世東,7.797535775418976,23
姜儒澤,7.7877630437740155,18
童夢成,7.787493921251262,29
曹瀟陽,7.761658359652998,17
沈載益,7.760452351823776,17
白現宇,7.755805205022169,20
許映皓,7.747048120277779,27
崔哲瀚,7.726141159273157,35
金庭賢,7.72533352948206,20
檀嘯,7.715993116843661,29
李元栄,7.710368724930293,16
金明訓,7.684889388277519,25
朴珉奎,7.67063224738592,9
范胤,7.6540475799902135,26
朴常鎭,7.6443623944357695,30
黄明宇,7.628093001876646,19
金昌勲,7.626234426721515,7
朴河旼,7.607210009882786,29
趙漢乗,7.588500171144898,24
時越,7.5831758036332,32
張涛,7.571510734110152,26
常昊,7.564066018335808,7
李炯珍,7.5626420617044925,2
趙晨宇,7.56231055178026,36
伊淩濤,7.561942043269111,29
蒋其潤,7.5618201759690065,21
黄昕,7.542446518384851,4
洪基杓,7.5397696429027246,9
朴鍵昊,7.517132811714615,25
何語涵,7.493304447641071,21
金炯佑,7.483270146038573,23
姜昇旼,7.474085708039314,31
羅玄,7.454651870973295,37
韓一洲,7.44834840573394,19
李映九,7.435307957332028,24
廖元赫,7.402726231467882,35
王星昊,7.388255183831335,25
朴進率,7.382581638326621,27
朴材根,7.367827637771229,20
黄宰淵,7.361913459731831,2
陳梓健,7.352310760832959,19
李翔宇,7.341799633025886,18
韓尚勲,7.3251615908991035,33
三村智保,7.302273056425492,5
尹燦熙,7.276717112713471,17
曺薫鉉,7.259773301092587,8
孟泰齢,7.250954386480306,19
彭立尭,7.23357371807786,17
白洪淅,7.2228096838373945,25
芝野虎丸,7.215779135400445,55
許皓鋐,7.177647730131962,88
王尭,7.1451967509472185,2
洪性志,7.144506866853637,7
孫騰宇,7.136857097377675,15
陳鐿夫,7.135452264695376,4
金桐熙,7.127058477086959,5
崔精,7.119080946612085,73
朴永訓,7.091007523918419,25
文儒彬,7.082709359905341,26
古力,7.075894105708041,5
白賛僖,7.069613924589185,20
許家元,7.043400625915921,55
宋知勲,7.027856192770518,16
羅岩,7.004077055824952,2
韓熊熙,6.999371592319715,3
余正麒,6.969472985142524,38
夏晨琨,6.945071033609666,16
尹畯相,6.942653971792532,27
琴沚玗,6.9126497276197885,30
金旻奭,6.887738791982467,2
李成森,6.8627787866929975,15
周睿羊,6.855391918362609,22
喬智健,6.827119058083661,2
李泰賢,6.816885082526599,13
文敏鍾,6.807541016870006,34
周賀璽,6.755525585388105,5
山下敬吾,6.748022951862543,36
陳正勲,6.732643815318627,14
古霊益,6.684384102010027,20
胡躍峰,6.681637197510749,4
宋圭相,6.670607615044738,19
李昌鎬,6.645387280971928,33
鈴木伸二,6.641722465668563,9
王雷,6.633939035397281,2
王世一,6.6263590443922595,15
金眞輝,6.607659420474595,17
鄔光亜,6.60723726795005,15
韓昇周,6.597829848076083,27
廖行文,6.570147191144071,17
張強,6.56251029943637,7
尹松涛,6.547824311345913,2
河野臨,6.5369644874980075,38
陳浩,6.522272310912542,10
本木克弥,6.493127348989431,19
朴承華,6.468980761370722,24
趙完圭,6.462809413603232,3
王元均,6.433975965877805,75
林君諺,6.428582808794019,73
朴永龍,6.398211801683608,17
羽根直樹,6.3808546297072,27
胡耀宇,6.326060212666555,15
金秀俊,6.3172011767628975,3
溝上知親,6.299222260184592,7
金相天,6.2941191388209985,21
黄静遠,6.27939913340499,13
劉昌赫,6.279325332879443,22
陳豪鑫,6.262741788900561,10
安祚永,6.250383216696995,7
金成進,6.246414212274462,24
馬逸超,6.240716582265523,5
常石隆志,6.2153848110471355,2
瀬戸大樹,6.209458931869158,19
高尾紳路,6.201204752093949,22
陳祈睿,6.19451806506827,88
陸敏全,6.192824954856709,28
依田紀基,6.189409063485651,23
成家業,6.175867209133646,13
張瑞傑,6.134615419314364,5
寺山怜,6.1338773292047195,4
朴炫洙,6.131539624986367,10
六浦雄太,6.092296076432365,14
尭瀟童,6.090840840093009,9
韓宇進,6.068808153846276,17
張豊猷,6.043432596293768,7
李元道,6.037715789469191,20
村川大介,6.027976606531513,40
丁世雄,6.023771443608325,13
崔光戸,5.998109798824657,19
紀祥,5.988564741684577,4
呂洵鋒,5.975206725924671,2
焦士維,5.966137950434715,4
徐奉洙,5.964362843595022,24
佐田篤史,5.928303334170799,28
温昭珍,5.918583363483544,8
簡靖庭,5.899406961583813,64
関航太郎,5.89845001636429,9
賴均輔,5.895727248837611,75
大西竜平,5.871363892259466,26
周泓余,5.870542171484392,32
王碩,5.844874723434924,6
於之瑩,5.836951264147916,26
金禹丞,5.831984708936553,2
平田智也,5.823907444927933,11
大場惇也,5.821174132297335,4
伊田篤史,5.8160857165470965,19
安斎伸彰,5.807154286925063,15
呉侑珍,5.805046400717514,60
申載元,5.802129600907827,15
秋山次郎,5.773823870054066,9
聶衛平,5.768297145373805,6
金彩瑛,5.763706207664703,46
李炫準,5.756827740454789,13
張栩,5.743329136220153,29
陳一純,5.742166554957311,12
国宇征,5.741277577311072,3
趙善津,5.7363680688427445,12
傅健恒,5.730972363975062,3
星川航洋,5.673797547746224,3
林漢傑,5.648738164138461,12
楊博崴,5.627684500704937,49
王晨星,5.571847718575244,23
王沢宇,5.5689363243382415,3
金希洙,5.563710049464729,19
蕭正浩,5.555732707606844,63
金恵敏,5.5181264337206155,37
横塚力,5.478464301166453,7
王爽,5.464259940277596,25
林立祥,5.460222785431357,63
謝赫,5.460099308900637,6
曺承亜,5.444079078139092,36
金恩持,5.4423489363851525,28
朴東柱,5.442346700779033,7
李維,5.44137907269978,73
玄釉斌,5.440580578342479,40
周俊勲,5.4383301158489585,7
呉秉祐,5.424235672438361,30
山田拓自,5.42167171307611,2
李沇,5.4172984942568,20
李浩範,5.3959596953344215,13
金栄桓,5.384196848323695,4
望月研一,5.362688899558619,6
藤沢里菜,5.3534077472055905,32
孫喆,5.3407066101523535,16
秦悦欣,5.327887670848008,2
王禹程,5.327887666176457,2
芮廼偉,5.326244314550887,22
文鐘皓,5.309083875626902,4
盧奕銓,5.292804938777055,70
羅楚玥,5.2622908174064875,16
金宣圻,5.257533988971561,10
権周利,5.257361827714921,16
胡暁,5.256047936032038,2
胡鈺函,5.25604792609399,2
柳珠儇,5.241981223490613,4
金民浩,5.239813994664963,15
胡子豪,5.208694198141434,4
陳詩淵,5.198134818589238,52
金制拏,5.196665528771194,3
潘陽,5.189612636275988,23
権孝珍,5.18842440735869,25
蔡碧涵,5.170288485332374,18
朴志娟,5.156176134270387,26
李春揆,5.144438886888952,16
李玟眞,5.141294929571822,17
太田亮,5.126577287476516,2
大淵浩太郎,5.120427160136386,2
高根台,5.10473272593424,4
趙治勲,5.084093682717542,14
趙恵連,5.073123780861657,27
朴滄溟,5.056375687372482,16
汪雨博,5.0454672580142494,17
唐嘉雯,5.0350552476949755,27
曾淵海,5.033526982138142,2
洪爽義,5.0274268657511,11
沈準燮,5.02535282377046,2
柳澤理志,5.0098149171649,3
徐靖恩,4.983954224820191,70
李赫,4.917062030591551,25
鶴山淳志,4.903311886403286,14
結城聡,4.9027661773719435,20
方若曦,4.88659808326487,26
呉政娥,4.878759209435565,41
上野愛咲美,4.871539696665508,43
藤井秀哉,4.867037507628967,8
内田修平,4.844529229453007,7
陳禧,4.835825361394498,40
朱亨煜,4.834365931659548,14
王銘琬,4.83145439965896,14
藤村洋輔,4.816080669839144,4
鄭誓儁,4.8116634869939645,2
広瀬優一,4.810718332310865,4
鄭宇津,4.804469635416881,8
洪錫民,4.764914994654046,2
渡辺寛大,4.7614590921454925,10
呉依銘,4.760346657890261,21
金美里,4.759602085514055,21
金炅奐,4.752450026328429,3
韓鐘振,4.74999554917029,2
西健伸,4.748787278213777,13
大西研也,4.7288669634579374,9
大橋拓文,4.725842451704804,8
阿部良希,4.722541787945464,8
許瑞玹,4.713782259596605,27
大垣雄作,4.71216306029016,5
金多瑛,4.701197794553362,31
金栄光,4.698515137770636,4
青木裕孝,4.68849963711414,3
倉橋正行,4.666746915847942,2
石田芳夫,4.653934367995619,9
柳昌柱,4.64599202878876,14
安達利昌,4.639254515837424,8
陳一鳴,4.630263225187292,25
権甲龍,4.6283010854492845,2
呉柏毅,4.610952046831658,12
西岡正織,4.577600063178896,4
工藤紀夫,4.575854068454506,4
蔡丞韋,4.566604581267914,48
高星,4.559375115530656,17
大川拓也,4.552695713323289,6
唐奕,4.510316455301894,16
神田英,4.490301752651167,3
許育祺,4.47957848139949,33
小林覚,4.476969475336918,7
福岡航太朗,4.4612572713858905,12
