name,ping,n
申眞諝,10.239133213721889,76
芈昱廷,9.873372663588098,37
謝科,9.756452473559836,19
丁浩,9.725513731398914,24
連笑,9.600955176179761,23
孟泰齢,9.539190185011119,5
范廷鈺,9.526523364823296,31
柯潔,9.522224154083835,34
楊鼎新,9.489441336290582,39
朴廷桓,9.201325326915645,71
童夢成,9.177405059800574,22
謝爾豪,9.14518651655403,13
彭立尭,9.143659218227167,14
王瑋,9.1109676159224,3
范蘊若,9.088830010208897,23
江維傑,9.06829708372883,25
辜梓豪,8.9852666230333,19
黄雲嵩,8.96344389776964,19
王昊洋,8.916958721933334,5
蒋其潤,8.911355819045545,8
屠暁宇,8.90251067685574,18
申旻埈,8.891771500854103,66
夏晨琨,8.854060452549298,7
廖元赫,8.81083939225937,32
趙炎,8.784373329116063,2
王星昊,8.731802459171144,29
許嘉陽,8.72026351117763,22
唐韋星,8.692422259286182,24
卞相壹,8.647096418727092,58
胡耀宇,8.621204243858045,9
趙晨宇,8.59399282120166,31
文敏鍾,8.555843306510534,12
姜東潤,8.541585351314419,44
柁嘉熹,8.540573010297448,29
檀嘯,8.522339382389154,20
安成浚,8.517177483908574,8
范胤,8.489297418157214,14
李維清,8.487257807958455,23
李軒豪,8.485529498929195,23
蔡競,8.423318744821433,12
時越,8.410967538420863,28
芝野虎丸,8.375755460348211,51
陳賢,8.354909740221533,20
陶欣然,8.349725975094332,14
劉宇航,8.348554020234623,13
李東勲,8.33200517602112,44
金志錫,8.316483644636918,52
李喆,8.262357138588367,2
李志賢,8.235830697000315,36
井山裕太,8.218047226671594,43
党毅飛,8.187140270740578,17
陳耀燁,8.169804615790063,23
平田智也,8.15090271074286,12
一力遼,8.12723177957002,53
鄔光亜,8.081908820494522,13
張涛,8.055069129842375,10
朴永訓,8.05250234433026,41
李成森,8.042223242744724,8
李欽誠,8.030693749392892,24
柳琪峰,7.949645884753468,2
陳浩,7.931928023743495,6
許皓鋐,7.926180494627472,71
崔哲瀚,7.903925715621256,29
王世一,7.821764558137406,8
韓昇周,7.816028565985776,23
洪性志,7.807968731275605,22
白洪淅,7.781491681428625,22
羅玄,7.752779832880396,36
孫喆,7.723960342552308,17
白現宇,7.708546234452349,15
洪旼杓,7.704717505158207,2
朴承華,7.692460831958143,20
偰玹準,7.685287810046707,23
イリア・シクシン,7.6710568911788,2
伊淩濤,7.63356749775646,13
陳時暎,7.628425278138319,17
孫騰宇,7.621232485229965,4
沈沛然,7.61039787375559,15
許瀚文,7.590144967968222,2
朴鍵昊,7.565003361222604,42
湯靖軒,7.5598932987898575,6
富士田明彦,7.548920694160616,14
洪基杓,7.5197496684067,31
宋知勲,7.480745496180788,34
戎毅,7.442417802190812,8
趙漢乗,7.435156361427134,26
古力,7.403674727998558,11
許家元,7.395437192854407,48
金昌勲,7.389241508154246,22
周睿羊,7.388144868527423,13
申潤昊,7.387584136856353,2
崔明勲,7.385530706297228,2
韓相朝,7.35973005659904,3
文儒彬,7.355748986699485,23
李昌錫,7.3408221042095345,33
姜昇旼,7.322014806169115,23
朴進率,7.317474876017568,20
韓熊熙,7.316663586380656,23
朴河旼,7.301295086495543,27
李翔宇,7.285657948083028,6
沈載益,7.281171113517062,16
許映皓,7.269661546321759,20
朴常鎭,7.2676428763085426,23
陳豪鑫,7.261338587478161,11
呂立言,7.251851066230499,9
白賛僖,7.248459333112335,4
金明訓,7.21805339319229,34
尹畯相,7.217820661163264,23
成家業,7.199866267133963,4
河野臨,7.1865583599353,41
崔宰栄,7.179231875974077,21
黄翊祖,7.176193616161241,16
梁寓晳,7.174979302953297,2
瀬戸大樹,7.149263916684284,19
溝上知親,7.149139082547778,9
王元均,7.142758959169897,74
大西竜平,7.110081313016633,19
李映九,7.072193548938693,31
安正己,7.067395689917398,22
元晟溱,7.046524048580563,31
金眞輝,7.046344337770706,4
韓一洲,7.031459623266074,13
李炫準,7.03131575367553,3
崔精,7.018298870452625,75
余正麒,6.996024920873137,22
楊潤東,6.981316118914476,3
陳玉儂,6.952472525765462,8
金相天,6.9148023240641106,25
古霊益,6.904866869932987,11
毛睿龍,6.886293123640159,4
廖行文,6.88614126259286,2
六浦雄太,6.882630731499965,15
