name,ping,n
申眞諝,10.576686935734495,86
柯潔,9.990929464082122,47
朴廷桓,9.274496197974809,77
陶欣然,8.88849818621422,28
丁浩,8.764329546859246,28
連笑,8.737441132890444,44
辜梓豪,8.715436119089766,46
楊鼎新,8.708474347442921,46
謝爾豪,8.695454900680073,31
李維清,8.692085510253653,32
李志賢,8.681266620646223,15
申旻埈,8.650941012251312,60
范廷鈺,8.631589575096342,45
江維傑,8.579830655671762,37
許嘉陽,8.553145277562862,26
卞相壹,8.51934770440343,59
李軒豪,8.467314088428479,36
金志錫,8.464994137932203,52
陳賢,8.457824369116748,20
元晟溱,8.423775755762266,19
柁嘉熹,8.326192658168065,30
謝科,8.309294701036608,31
屠暁宇,8.266978093844694,22
姜東潤,8.249498325731905,51
王沢錦,8.172107902747943,12
唐韋星,8.149517148213823,32
李東勲,8.094561085814226,52
戎毅,8.074879148895734,15
毛睿龍,8.067301953272008,3
檀嘯,8.037670160911372,32
一力遼,8.03192331561544,54
姜知勲,8.008501831492294,7
偰玹準,8.006396589261259,31
趙晨宇,7.988118276777105,36
范胤,7.981285868025011,27
洪基杓,7.962425691266253,18
党毅飛,7.950887317133396,27
韓相朝,7.9269016515641075,6
韓昇周,7.923237726793473,21
呉長煜,7.915833908294518,6
金昌勲,7.913483138652335,11
范蘊若,7.906380613864265,5
王星昊,7.893743777027552,25
金庭賢,7.88247349091226,10
時越,7.8784091674767085,31
李昌錫,7.868502127028373,34
曹瀟陽,7.865265614392704,17
伊淩濤,7.836649636791156,29
周賀璽,7.834600937893227,3
芈昱廷,7.827657624321921,39
童夢成,7.816683382226587,31
朴鍵昊,7.794862784623145,32
井山裕太,7.766721288245993,53
陳耀燁,7.757055023322138,26
蒋其潤,7.754993544106186,20
張涛,7.681031875290014,23
趙漢乗,7.675046077538139,25
黄明宇,7.6649293467506885,19
王昊洋,7.646596056115788,4
金眞輝,7.640578797060141,7
楊楷文,7.60737035404395,13
羅玄,7.598456131354706,47
黄昕,7.589431947046544,4
朴河旼,7.58638455172488,22
陳玉儂,7.573087816799803,2
安成浚,7.559855927619437,21
柳秀沆,7.558116832151728,5
李泰賢,7.557180150783558,12
李欽誠,7.536135025133535,26
彭立尭,7.526445947432823,18
朴永訓,7.511436180174551,35
宋知勲,7.5108244325319475,22
陳梓健,7.501532454519298,16
梁寓晳,7.471532807636082,2
黄雲嵩,7.465093350516604,23
洪旼杓,7.459538294861756,2
崔哲瀚,7.457705524900522,32
李映九,7.449188609211339,30
鐘文靖,7.430624898221423,2
朴進率,7.428999459580136,21
何語涵,7.422391094058129,19
金基範,7.4170522373801075,7
文敏鍾,7.394933074975117,23
朴常鎭,7.387974548009629,27
李翔宇,7.385944045340333,15
廖元赫,7.37074648188563,32
文儒彬,7.3651902617292935,24
朴材根,7.361863777262963,8
溝上知親,7.358796449944188,6
劉宇航,7.335251135831803,6
張豊猷,7.330804200608076,7
李昊承,7.330119577989256,17
白現宇,7.316907726843785,16
沈載益,7.302528271344435,12
韓熊熙,7.282318624749926,16
金相天,7.268019626862883,17
許皓鋐,7.2411121273744925,90
洪性志,7.238346838291664,12
安正己,7.238176029814858,19
韓一洲,7.230685887548631,14
白賛僖,7.2218714455740205,8
李元栄,7.2009481287536525,5
金世東,7.190158653509645,13
孟泰齢,7.172293034795826,16
朴埈奭,7.157666943649582,6
崔顕宰,7.1575843114710755,3
余正麒,7.139779231813229,34
芝野虎丸,7.130999182767811,52
朴承華,7.109444688703034,27
金旻奭,7.107799629133844,9
姜昇旼,7.102650858138193,20
孫騰宇,7.061865347447269,13
金明訓,7.01623605158742,31
崔原踊,6.969672160519558,7
李成森,6.969556834105973,15
周睿羊,6.961568906591634,21
陳時暎,6.946832177283465,6
古霊益,6.943158614080337,17
崔精,6.942049930048606,69
鄔光亜,6.923820994879818,13
許家元,6.921854252669093,52
朴鐘勲,6.91489159630804,11
許映皓,6.889006669145917,13
金炯佑,6.856831881229858,8
陳鐿夫,6.78700393108592,4
張強,6.715766483427733,7
河野臨,6.699231465666083,39
王世一,6.692247238232797,15
