name,ping,n
申眞諝,10.609983055190938,75
李泰賢,9.573606350343429,6
柯潔,9.5168889213112,45
朴廷桓,9.382897168701083,75
辜梓豪,9.25222770484635,28
曹瀟陽,9.109764515723322,8
連笑,8.884307493108336,38
謝科,8.875908921497823,29
范廷鈺,8.850984815178162,43
申旻埈,8.813155888070364,55
王昊洋,8.693736713466102,5
劉宇航,8.648601760925061,10
楊鼎新,8.600797664068057,39
柁嘉熹,8.543424417745777,34
韓相朝,8.542655332214833,5
江維傑,8.48354925034952,37
姜東潤,8.47676643459975,46
卞相壹,8.46458698060674,46
丁浩,8.449593941232532,26
趙晨宇,8.443441268718246,37
芈昱廷,8.430217728725617,39
童夢成,8.373673396218193,23
李維清,8.361930006102826,26
姜知勲,8.289679708839458,3
井山裕太,8.25317799537959,50
柳琪峰,8.235958691642528,2
陶欣然,8.23163347922888,20
一力遼,8.182699002712255,49
張涛,8.171253626146612,10
李志賢,8.14953792338089,26
屠暁宇,8.14602249918691,17
彭立尭,8.115884080213426,18
李欽誠,8.105327186320144,27
范蘊若,8.093396462953061,9
李東勲,8.091769624744625,49
楊楷文,8.076604739252556,8
陳賢,8.07093516099695,16
金志錫,8.045741193836594,49
陳玉儂,8.004077731512268,2
謝爾豪,8.00327951332877,19
何語涵,7.988368122305949,13
陳耀燁,7.967854478043236,24
伊淩濤,7.902828354037357,20
廖元赫,7.901079344729132,28
芝野虎丸,7.8756433139353375,48
崔哲瀚,7.847598630422399,27
檀嘯,7.847283070625245,23
李軒豪,7.841429844321072,26
時越,7.829645590288844,32
偰玹準,7.758066525211102,26
許嘉陽,7.755180635040363,16
王星昊,7.752445831021797,23
黄雲嵩,7.738688083082592,18
許皓鋐,7.735080179707361,70
羅玄,7.7168112511537235,41
戎毅,7.715465793083596,11
毛睿龍,7.69442001461912,2
唐韋星,7.647648416106217,24
古力,7.641244169852368,7
朴永訓,7.6241759727703275,36
王世一,7.61357745643455,8
趙漢乗,7.601800816868639,28
范胤,7.600813816207534,22
韓昇周,7.584235528198334,25
